Symbol,Security,Sector,Market Cap,Price,Book Value,Earnings/Share,EBITDA,Price/Sales,52 week low,52 week high,Sub Industry,Address of Headquarters
MMM,3M Company,Industrials,112.74,189.09,17.26,8.16,8.7,3.74,158.28,190.54,Industrial Conglomerates,"St. Paul, Minnesota"
ABT,Abbott Laboratories,Health Care,77.76,45,13.94,0.94,4.59,3.74,36.76,45.83,Health Care Equipment,"North Chicago, Illinois"
ABBV,AbbVie Inc.,Health Care,101.52,63.69,2.91,3.63,10.95,3.95,54.41,68.12,Pharmaceuticals,"North Chicago, Illinois"
ACN,Accenture plc,Information Technology,77.29,124.14,11.95,6.76,5.66,2.3,102.1,125.72,IT Consulting & Other Services,"Dublin, Ireland"
ATVI,Activision Blizzard,Information Technology,36.13,48.06,12.23,1.28,2.14,5.44,30.37,48.36,Home Entertainment Software,"Santa Monica, California"
AYI,Acuity Brands Inc,Industrials,9,205.41,39.5,6.92,0.5862,2.64,193.06,280.89,Electrical Components & Equipment,"Atlanta, Georgia"
ADBE,Adobe Systems Inc,Information Technology,59.28,119.98,15.02,2.32,1.82,10.14,83.25,120.69,Application Software,"San Jose, California"
AMD,Advanced Micro Devices Inc,Information Technology,11.18,151.99,39.66,6.2,1.12,1.19,132.98,177.83,Semiconductors,"Sunnyvale, California"
AAP,Advance Auto Parts,Consumer Discretionary,7.47,11.33,4.24,-1.71,3.42,0.56,10.27,13.32,Automotive Retail,"Roanoke, Virginia"
AES,AES Corp,Utilities,45.93,130.59,50.84,6.41,6.2,0.73,104.59,136.5,Independent Power Producers & Energy Traders,"Arlington, Virginia"
AET,Aetna Inc,Health Care,9.44,166.56,63.84,8.57,0.835,4.32,130.48,179.85,Managed Health Care,"Hartford, Connecticut"
AMG,Affiliated Managers Group Inc,Financials,28.88,71.95,50.47,6.42,4.78,1.27,59.66,74.5,Asset Management & Custody Banks,"Beverly, Massachusetts"
AFL,AFLAC Inc,Financials,16.49,51.21,13.35,1.56,0.942,3.89,37.62,52.26,Life & Health Insurance,"Columbus, Georgia"
A,Agilent Technologies Inc,Health Care,30.38,139.64,32.91,2.6,3.13,3.18,123.05,150.45,Health Care Equipment,"Santa Clara, California"
APD,Air Products & Chemicals Inc,Materials,10.96,63.3,18.61,1.79,0.70798,4.67,47.8,71.64,Industrial Gases,"Allentown, Pennsylvania"
AKAM,Akamai Technologies Inc,Information Technology,11.74,95.12,23.77,6.54,1.82,2.01,54.51,101.43,Internet Software & Services,"Cambridge, Massachusetts"
ALK,Alaska Air Group Inc,Industrials,11.68,103.79,33.73,5.68,0.70201,4.29,58.6,105.2,Airlines,"Seattle, Washington"
ALB,Albemarle Corp,Materials,29.02,129.18,38.81,1.76,1.17,9.71,109.12,162,Specialty Chemicals,"Baton Rouge, Louisiana"
ARE,Alexandria Real Estate Equities Inc,Real Estate,6.96,72.86,1.19,2.36,0.4789,3.12,61.47,75,Office REITs,"Pasadena, California"
ALXN,Alexion Pharmaceuticals,Health Care,80.32,239.6,212.79,38.18,6.1,5.58,184.5,299.11,Biotechnology,"Cheshire, Connecticut"
ALLE,Allegion,Industrials,13.7,245.05,28.89,7.34,1.46,1.92,185.02,249.22,Building Products,"Dublin, Ireland"
AGN,"Allergan, Plc",Health Care,8.94,39.28,16.96,1.64,1.03,2.69,34.04,40.99,Pharmaceuticals,"Dublin, Ireland"
ADS,Alliance Data Systems,Information Technology,29.74,81.46,51.44,4.67,3.46,0.81,63.73,83.05,Data Processing & Outsourced Services,"Plano, Texas"
LNT,Alliant Energy Corp,Utilities,588.5,851.15,201.12,27.88,29.86,6.49,672.66,867,Electric Utilities,"Madison, Wisconsin"
ALL,Allstate Corp,Financials,575.2,831.91,201.12,27.88,29.86,6.34,663.28,841.95,Property & Casualty Insurance,"Northfield Township, Illinois"
GOOGL,Alphabet Inc Class A,Information Technology,147.64,76.1,6.58,7.28,9.5,7.58,59.48,76.3,Internet Software & Services,"Mountain View, California"
GOOG,Alphabet Inc Class C,Information Technology,403.7,846.02,40.43,4.9,11.67,2.97,538.58,860.86,Internet Software & Services,"Mountain View, California"
MO,Altria Group Inc,Consumer Staples,13.3,54.82,29.28,2.68,2.3,2.27,46.29,55.51,Tobacco,"Richmond, Virginia"
AMZN,Amazon.com Inc,Consumer Discretionary,22.61,44.84,7.46,4.81,7.83,0.57,24.85,50.64,Internet & Direct Marketing Retail,"Seattle, Washington"
AEE,Ameren Corp,Utilities,32.57,66.24,35.38,1.24,5.29,1.99,57.89,71.32,Multi-Utilities,"St. Louis, Missouri"
AAL,American Airlines Group,Industrials,71.72,79.58,22.68,5.65,0,2.4,57.15,82,Airlines,"Fort Worth, Texas"
