Symbol,Price,52 week low,52 week high,Standardized_Price,EBITDA,Standardized_EBITDA,Date first added,Standardized_Date,Dividend Yield,Standardized_Dividend
MMM,189.09,158.28,190.54,0.955052697,8.7,0.133870556,0,0,2.48,0.169514696
ABT,45,36.76,45.83,0.908489526,4.59,0.075561104,23467,0,2.34,0.159945318
ABBV,63.69,54.41,68.12,0.676878191,10.95,0.165791788,41274,0.919640552,4.04,0.276144908
ACN,124.14,102.1,125.72,0.933107536,5.66,0.090741424,40730,0.891545732,1.96,0.133971292
ATVI,48.06,30.37,48.36,0.983324069,2.14,0.040802429,42247,0.969891029,0.64,0.043745728
AYI,205.41,193.06,280.89,0.140612547,0.5862,0.018758335,42493,0.982595672,0.25,0.017088175
ADBE,119.98,83.25,120.69,0.981036325,1.82,0.03626252,35555,0.624283427,0,0
AAP,151.99,132.98,177.83,0.423857302,1.12,0.02633147,42814,0.999173682,0.15,0.010252905
AES,11.33,10.27,13.32,0.347540984,3.42,0.058962063,42194,0.96715385,4.16,0.284347232
AET,130.59,104.59,136.5,0.814791601,6.2,0.09840252,0,0,1.53,0.104579631
AMG,166.56,130.48,179.85,0.730808183,0.835,0.022288114,27941,0.231059237,0.47,0.032125769
AFL,71.95,59.66,74.5,0.828167116,4.78,0.078256675,41821,0.947890306,2.38,0.162679426
A,51.21,37.62,52.26,0.928278689,0.942,0.023806146,0,0,1.02,0.069719754
APD,139.64,123.05,150.45,0.605474453,3.13,0.054847771,36682,0.682487218,2.72,0.185919344
AKAM,63.3,47.8,71.64,0.650167785,0.70798,0.020486054,31167,0.397665651,0,0
ALK,95.12,54.51,101.43,0.865515772,1.82,0.03626252,39275,0.816402417,1.21,0.082706767
ALB,103.79,58.6,105.2,0.969742489,0.70201,0.020401356,42503,0.983112121,1.22,0.083390294
ALXN,129.18,109.12,162,0.37934947,1.17,0.027040831,42552,0.985642721,0,0
ALLE,72.86,61.47,75,0.841832964,0.4789,0.017236047,42814,0.999173682,0.87,0.059466849
AGN,239.6,184.5,299.11,0.480760841,6.1,0.096983798,41054,0.908278676,1.14,0.077922078
ADS,245.05,185.02,249.22,0.935046729,1.46,0.031155123,41610,0.936993235,0.85,0.058099795
LNT,39.28,34.04,40.99,0.753956835,1.03,0.025054621,0,0,3.22,0.220095694
ALL,81.46,63.73,83.05,0.917701863,3.46,0.059529552,41631,0.938077777,1.66,0.113465482
GOOGL,851.15,672.66,867,0.918441906,29.86,0.434072014,42552,0.985642721,0,0
GOOG,831.91,663.28,841.95,0.943807019,29.86,0.434072014,0,0,0,0
MO,76.1,59.48,76.3,0.988109394,9.5,0.145220327,41732,0.943293911,3.23,0.220779221
AMZN,846.02,538.58,860.86,0.953953084,11.67,0.176006583,0,0,0,0
AEE,54.82,46.29,55.51,0.92516269,2.3,0.043072383,0,0,3.21,0.219412167
AAL,44.84,24.85,50.64,0.77510663,7.83,0.121527679,38674,0.785363838,0.85,0.058099795
AEP,66.24,57.89,71.32,0.621742368,5.29,0.085492154,33500,0.518153179,3.55,0.242652085
AXP,79.58,57.15,82,0.902615694,0,0.01044179,42086,0.961576202,1.6,0.10936432
AIG,63.45,48.41,67.47,0.789087093,4.34,0.072014301,0,0,1.99,0.136021873
AMT,114.7,93.69,118.26,0.855107855,3.46,0.059529552,27941,0.231059237,2.01,0.137388927
AWK,76.89,66.63,85.24,0.551316497,1.62,0.033425077,29311,0.301812736,1.94,0.132604238
AMP,132.18,84.92,135.2,0.939936356,2.77,0.049740374,39405,0.823116253,2.25,0.153793575
ABC,88.48,68.38,94.5,0.769525268,2.16,0.041086173,42433,0.979496979,1.58,0.107997266
AME,54.51,43.28,55.48,0.920491803,1.01,0.024770876,38628,0.782988173,0.66,0.045112782
AMGN,177.38,133.64,180.53,0.932821497,12,0.180688364,37133,0.705779063,2.55,0.174299385
APH,70.27,54.87,71,0.954742715,1.46,0.031155123,41540,0.933378092,0.91,0.062200957
APC,63.16,40.02,73.33,0.69468628,2.97,0.052577817,33605,0.523575892,0.32,0.021872864
ADI,83.41,52.17,84.24,0.974119114,1.37,0.029878274,39721,0.839436038,2.16,0.147641832
ANTM,166.01,114.85,169.2,0.941306348,5.78,0.09244389,0,0,1.57,0.107313739
AON,115.54,97.62,117.89,0.884065121,2.39,0.044349232,0,0,1.13,0.077238551
APA,51.28,44.75,69,0.269278351,2.4,0.044491105,0,0,1.92,0.131237184
AIV,45.43,38.05,47.91,0.748478702,0.57096,0.018542122,0,0,3.17,0.216678059
AAPL,139.52,89.47,140.28,0.985042315,69.75,1,0,0,1.63,0.111414901
AMAT,36.97,18.94,37.26,0.984170306,2.99,0.052861561,0,0,1.08,0.073820916
ADM,44.46,34.55,47.88,0.743435859,2.54,0.046477315,30285,0.352114858,2.83,0.193438141
ARNC,26.98,16.75,30.69,0.733859397,2.29,0.042930511,0,0,0.85,0.058099795
AJG,56.32,40.76,57.82,0.912075029,0.8688,0.022767642,29796,0.326860507,2.74,0.187286398
AIZ,99.6,75.2,101.32,0.934150077,1.04,0.025196493,23467,0,2.12,0.144907724
T,41.88,36.1,43.89,0.741976893,49.74,0.716113838,42521,0.984041729,4.67,0.319207109
ADSK,82.07,49.82,89.18,0.819359756,-0.2799,0.006470789,39182,0.811599442,0,0
ADP,104.27,84.36,105,0.964631783,2.73,0.049172885,30650,0.370965243,2.18,0.149008886
AN,45.26,39.28,54.15,0.402151984,0.9707,0.024213319,32843,0.484222486,0,0
AZO,712.72,711,819.54,0.015846692,2.39,0.044349232,29676,0.32066312,0,0
AVB,183.05,158.32,192.29,0.72799529,1.32,0.029168913,0,0,3.14,0.214627478
AVY,80.4,68.06,82.11,0.878291815,0.7403,0.020944585,0,0,2.01,0.137388927
BHI,59.41,38.16,68.59,0.698324022,-0.121,0.008725137,39092,0.806951402,1.14,0.077922078
BLL,72.28,66.41,82.24,0.370814908,1.28,0.028601424,32142,0.448019418,0.7,0.04784689
BAC,25.21,12.05,25.8,0.957090909,0,0.01044179,0,0,1.18,0.080656186
BCR,245.69,191.79,248.19,0.955673759,1.15,0.026757087,30986,0.388317926,0.42,0.028708134
BAX,51.04,38.99,51.4,0.970991136,1.97,0.038390602,27941,0.231059237,1.02,0.069719754
BBT,47.93,32.22,49.88,0.889580974,0,0.01044179,0,0,2.47,0.168831169
BDX,183.94,145.78,186.11,0.9461939,3.26,0.056692109,27575,0.212157207,1.58,0.107997266
BBBY,39.01,38.58,52.33,0.031272727,1.5,0.031722612,26572,0.160357383,1.24,0.084757348
BBY,44.55,28.76,49.4,0.76501938,2.6,0.047328548,26572,0.160357383,2.64,0.180451128
BIIB,291.1,223.02,333.65,0.615384615,6.37,0.100814346,0,0,0,0
BLK,385.35,317.6,399.46,0.827632543,4.88,0.079675397,40225,0.865465062,2.56,0.174982912
HRB,20.84,19.18,29.81,0.156161806,0.82645,0.022166813,36340,0.664824666,4.19,0.286397813
BA,182.02,121.43,185.71,0.942594897,8.68,0.133586812,0,0,3.12,0.213260424
BWA,41.69,27.52,43.43,0.890634821,0.8076,0.021899384,40637,0.886742757,1.3,0.08885851
BXP,135.66,113.69,144.02,0.724365315,1.53,0.032148228,31746,0.427568042,2.21,0.151059467
BSX,24.48,17.13,25.65,0.862676056,2.2,0.041653662,0,0,0,0
BMY,56.33,46.01,77.12,0.331726133,6.7,0.105496127,40896,0.900118783,2.72,0.185919344
AVGO,219.25,139.18,224.98,0.933216783,5.95,0.094855716,38810,0.792387543,1.87,0.127819549
CHRW,78.94,65.57,81.16,0.857601026,0.9008,0.023221633,0,0,2.26,0.154477102
CA,31.97,29.12,34.99,0.485519591,1.28,0.028601424,41767,0.945101482,3.14,0.214627478
COG,22.93,19.77,26.74,0.453371593,0.46353,0.017017989,30255,0.350565512,0.36,0.024606972
CPB,59.09,52.58,67.89,0.42521228,1.57,0.032715717,39143,0.809585292,2.35,0.160628845
COF,92.82,58.03,96.92,0.894574441,0,0.01044179,31989,0.44011775,1.7,0.11619959
CAH,81.21,62.7,87.85,0.735984095,3.07,0.053996538,39622,0.834323194,2.17,0.148325359
KMX,63.81,45.06,69.11,0.77962578,1.21,0.027608319,0,0,0,0
CCL,55.53,42.94,57.79,0.847811448,4.76,0.077972931,0,0,2.51,0.171565277
CAT,95.93,69.04,99.46,0.883957922,4.92,0.080242885,0,0,3.24,0.221462748
CBOE,77.97,61.22,81.36,0.831678252,0.35726,0.015510314,42795,0.998192429,1.28,0.087491456
CBG,36.16,24.11,36.59,0.965544872,1.2,0.027466447,40357,0.872282188,0,0
CBS,67.94,48.88,68.59,0.967021816,3.1,0.054422155,0,0,1.06,0.072453862
CELG,122.08,94.39,127,0.849126035,4.01,0.06733252,0,0,0,0
CNC,70.56,50,75.57,0.804067266,1.97,0.038390602,39031,0.803801064,0,0
CNP,28,19.83,28.08,0.99030303,2.09,0.040093068,34578,0.57382637,3.84,0.262474368
CTL,22.5,22.37,33.45,0.011732852,6.49,0.102516812,39027,0.803594484,9.2,0.628844839
CERN,54.97,47.01,67.5,0.388482186,1.32,0.029168913,42459,0.980839746,0,0
CF,30.2,20.77,37.17,0.575,1.24,0.028033936,31259,0.402416981,3.88,0.265208476
SCHW,41.66,23.83,43.36,0.912954429,0,0.01044179,0,0,0.75,0.051264525
CHTR,323.24,182.75,341.5,0.884976378,10.73,0.162670601,40298,0.869235139,0,0
CHK,5.26,3.53,8.2,0.370449679,0.215,0.013492041,39687,0.837680112,0,0
CVX,111.81,89.47,119,0.756518794,13.36,0.199982975,0,0,3.8,0.25974026
CMG,404.9,352.96,521.51,0.308157817,0.20481,0.013347473,42621,0.989206218,0,0
CB,137.41,115.5,140.55,0.874650699,5.69,0.09116704,0,0,1.99,0.136021873
CHD,49.55,42.56,53.68,0.628597122,0.8367,0.022312232,0,0,1.45,0.099111415
CI,151.84,115.03,154.24,0.938791125,3.85,0.065062566,40661,0.887982234,0.03,0.002050581
XEC,124.25,86.08,146.96,0.626971091,0.58573,0.018751667,40374,0.873160151,0.25,0.017088175
CINF,73.17,63.57,79.6,0.598877105,0.913,0.023394717,42367,0.976088416,2.7,0.18455229
CTAS,118.27,85.86,122.21,0.891609354,0.98328,0.024391794,27941,0.231059237,0.89,0.060833903
CSCO,34.2,25.81,34.53,0.962155963,14.67,0.218568226,41811,0.947373857,3.38,0.231032126
C,60.5,38.31,61.94,0.939060516,0,0.01044179,0,0,1.05,0.071770335
CFG,37.97,18.34,39.75,0.91686128,0,0.01044179,36951,0.696379693,1.46,0.099794942
CTXS,79.9,59.05,81.1,0.945578231,1.03,0.025054621,34304,0.55967567,0,0
CME,123.56,89,127.6,0.895336788,2.45,0.045200465,32294,0.455869442,2.13,0.145591251
